Структурное подразделение - полный путь с группирующими	Код функции	Должность /профессия (разряд, категория)	Грейд	ФОТ по рынку
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0353 B2C - Продажи	Начальник отдела	5	158528.32499999998
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0353 B2C - Продажи	Руководитель группы	4	140305.75
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0353 B2C - Продажи	Специалист	2	63736.088581730764
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0377 Внешние коммуникации	Пресс-секретарь	5	171575.845
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0386 УБ - Департамент управления делами	Руководитель группы	5	138469.33750000002
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0386 УБ - Департамент управления делами	Секретарь руководителя	2	67088.8575
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0394 БТИ_xЦТЭТ_ТЦТЭТ_O2O	Инженер	3	76933.84895833336
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0394 БТИ_xЦТЭТ_ТЦТЭТ_O2O	Руководитель группы	4	105712.11
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0394 БТИ_xЦТЭТ_ТЦТЭТ_O2O	Старший техник	2	52908.864583333336
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0407 B2B - Департамент продаж МСП	Главный менеджер по работе с государственными заказчиками	4	179940.5
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0407 B2B - Департамент продаж МСП	Главный менеджер по работе с объектами коммерческой недвижимости	4	145300.75
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0407 B2B - Департамент продаж МСП	Менеджер	3	111879.09166666667
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0407 B2B - Департамент продаж МСП	Руководитель направления	4	180210.75
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0419 B2G2 - Цифровизация Здравоохранения	Руководитель группы	4	163051
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0423 БТИ_СЦ_районы_КС	Ведущий сервисный инженер	3	73575.15
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0423 БТИ_СЦ_районы_КС	Мастер по обслуживанию абонентов	2	55365.76574999999
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0423 БТИ_СЦ_районы_КС	Руководитель направления	3	74616.111
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0423 БТИ_СЦ_районы_КС	Сервисный инженер	2	60426.075
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0424 БТИ_СЦ_районы_Эксплуатация	Ведущий инженер	3	79193.11875
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0424 БТИ_СЦ_районы_Эксплуатация	Инженер	2	55196.79404761904
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0425 БТИ_СЦ_районы_Сопровождение	Специалист	2	47093.945
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0426 БТИ_СЦ_районы_Продажи	Супервайзер	3	107049.66666666669
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0427 БТИ_СЦ_районы_КС_Инсталляции	Инсталлятор	2	81875.60763888889
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0428 БТИ_СЦ_районы_Развитие	Ведущий инженер	3	76619.96999999999
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0430 БТИ_СЦ_города_КС	Начальник цеха	5	126189.54833333332
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0431 БТИ_СЦ_города_КС_В2С	Ведущий сервисный инженер	3	80875.04104166667
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0431 БТИ_СЦ_города_КС_В2С	Мастер по обслуживанию абонентов	2	50070.178148148145
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0431 БТИ_СЦ_города_КС_В2С	Руководитель направления	3	75993.63
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0431 БТИ_СЦ_города_КС_В2С	Старший мастер по обслуживанию абонентов	2	50255.482083333336
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0431 БТИ_СЦ_города_КС_В2С	Универсальный специалист связи	2	52065.94020833333
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0431 БТИ_СЦ_города_КС_В2С	Электромонтер по обслуживанию абонентов	2	54886.53333333333
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0432 БТИ_СЦ_города_КС_В2В/В2G	Мастер по обслуживанию абонентов	2	52420.05708333334
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0432 БТИ_СЦ_города_КС_В2В/В2G	Сервисный инженер	2	45828.23
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0433 БТИ_СЦ_города_КС_Инсталляции	Инсталлятор	2	83348.64583333334
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0433 БТИ_СЦ_города_КС_Инсталляции	Руководитель группы	4	122611.08333333331
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0433 БТИ_СЦ_города_КС_Инсталляции	Техник	2	60132.545
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0434 БТИ_СЦ_города_Эксплуатация_СЦ	Ведущий инженер	3	66929.55750000001
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0434 БТИ_СЦ_города_Эксплуатация_СЦ	Инженер	2	47156.17733333333
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0434 БТИ_СЦ_города_Эксплуатация_СЦ	Инженер	3	72677.01666666666
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0434 БТИ_СЦ_города_Эксплуатация_СЦ	Начальник цеха	4	107770.96500000001
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0435 БТИ_СЦ_города_Эксплуатация_ЛКЦ	Ведущий инженер	3	60784.16375
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0435 БТИ_СЦ_города_Эксплуатация_ЛКЦ	Инспектор по ОПР	2	41970.371666666666
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0435 БТИ_СЦ_города_Эксплуатация_ЛКЦ	Кабельщик-спайщик	2	48175.769166666665
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0435 БТИ_СЦ_города_Эксплуатация_ЛКЦ	Кабельщик-спайщик ВОЛС	2	49525.39083333334
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0435 БТИ_СЦ_города_Эксплуатация_ЛКЦ	Кабельщик-спайщик медно-жильных кабелей связи	2	53687.64166666667
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0435 БТИ_СЦ_города_Эксплуатация_ЛКЦ	Начальник цеха	5	158279.33250000002
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0435 БТИ_СЦ_города_Эксплуатация_ЛКЦ	Специалист по линейным сооружениям	2	45858.515
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0435 БТИ_СЦ_города_Эксплуатация_ЛКЦ	Старший специалист по линейным сооружениям	2	46966.42511904762
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0435 БТИ_СЦ_города_Эксплуатация_ЛКЦ	Электромонтер	2	51823.38041666667
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0437 БТИ_СЦ_города_Развитие	Ведущий инженер	3	67997.59166666667
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0439 БТИ_СЦ_города_Сопровождение	Специалист по сопровождению	2	46723.03611111111
Группирующий узел Волга \ Филиал в Республике Марий Эл 	0439 БТИ_СЦ_города_Сопровождение	Специалист по сопровождению	3	72591.15166666667
Группирующий узел Волга \ Филиал в Республике Мордовия 	0203 Недвижимость	Ведущий специалист	3	75365.61
Группирующий узел Волга \ Филиал в Республике Мордовия 	0203 Недвижимость	Начальник отдела	5	193094.88
Группирующий узел Волга \ Филиал в Республике Мордовия 	0204 АБ - Офис	Ведущий инженер	3	78653.005
Группирующий узел Волга \ Филиал в Республике Мордовия 	0204 АБ - Офис	Ведущий специалист	3	77576.68000000001
Группирующий узел Волга \ Филиал в Республике Мордовия 	0204 АБ - Офис	Руководитель направления	5	166560.24
Группирующий узел Волга \ Филиал в Республике Мордовия 	0204 АБ - Офис	Руководитель направления по пожарной безопасности	4	106983.53
Группирующий узел Волга \ Филиал в Республике Мордовия 	0206 ББ - Безопасность	Ведущий специалист	3	76846.9
Группирующий узел Волга \ Филиал в Республике Мордовия 	0206 ББ - Безопасность	Главный специалист	3	76098.4
Группирующий узел Волга \ Филиал в Республике Мордовия 	0206 ББ - Безопасность	Главный специалист	4	102340.41
Группирующий узел Волга \ Филиал в Республике Мордовия 	0206 ББ - Безопасность	Начальник отдела	5	142434.75666666668
Группирующий узел Волга \ Филиал в Республике Мордовия 	0206 ББ - Безопасность	Руководитель направления	4	110073.44
Группирующий узел Волга \ Филиал в Республике Мордовия 	0207 ББ - Государственная тайна	Ведущий специалист	3	73699.37
Группирующий узел Волга \ Филиал в Республике Мордовия 	0207 ББ - Государственная тайна	Начальник отдела	5	189992.88
Группирующий узел Волга \ Филиал в Республике Мордовия 	0207 ББ - Государственная тайна	Специалист	2	70567.55
Группирующий узел Волга \ Филиал в Республике Мордовия 	0209 МПГОЧС	Ведущий специалист	3	72091.55
Группирующий узел Волга \ Филиал в Республике Мордовия 	0209 МПГОЧС	Начальник отдела	5	209111.76
Группирующий узел Волга \ Филиал в Республике Мордовия 	0209 МПГОЧС	Специалист 1 категории	2	60138.31
Группирующий узел Волга \ Филиал в Республике Мордовия 	0209 МПГОЧС	Специалист 2 категории	2	55951.12
Группирующий узел Волга \ Филиал в Республике Мордовия 	0214 БИТ - Эксплуатация	Руководитель группы	4	133662.18600000002
Группирующий узел Волга \ Филиал в Республике Мордовия 	0221 БТИ_ОФИС_КС_Орг_кл_серв	Ведущий инженер	2	60936.48
Группирующий узел Волга \ Филиал в Республике Мордовия 	0221 БТИ_ОФИС_КС_Орг_кл_серв	Ведущий специалист	3	70790.28
Группирующий узел Волга \ Филиал в Республике Мордовия 	0227 БТИ_ОФИС_ОТ	Ведущий специалист по охране труда	2	54749.7
Группирующий узел Волга \ Филиал в Республике Мордовия 	0227 БТИ_ОФИС_ОТ	Главный специалист по охране труда	3	75665.33
Группирующий узел Волга \ Филиал в Республике Мордовия 	0227 БТИ_ОФИС_ОТ	Начальник отдела	5	139336.56
Группирующий узел Волга \ Филиал в Республике Мордовия 	0228 БТИ_ОФИС_Планир	Ведущий инженер	3	87517.32
Группирующий узел Волга \ Филиал в Республике Мордовия 	0228 БТИ_ОФИС_Планир	Инженер	2	56291.4
Группирующий узел Волга \ Филиал в Республике Мордовия 	0228 БТИ_ОФИС_Планир	Руководитель направления	4	131747.88
Группирующий узел Волга \ Филиал в Республике Мордовия 	0233 БТИ_ОФИС_СГЭ	Ведущий инженер-энергетик	3	75428.76000000001
Группирующий узел Волга \ Филиал в Республике Мордовия 	0233 БТИ_ОФИС_СГЭ	Главный энергетик	5	189988.92
Группирующий узел Волга \ Филиал в Республике Мордовия 	0235 БТИ_ОФИС_Строит	Ведущий инженер	3	74312.70000000001
Группирующий узел Волга \ Филиал в Республике Мордовия 	0235 БТИ_ОФИС_Строит	Инженер	2	58086.600000000006
Группирующий узел Волга \ Филиал в Республике Мордовия 	0235 БТИ_ОФИС_Строит	Руководитель направления	4	107220.95999999999
Группирующий узел Волга \ Филиал в Республике Мордовия 	0237 БТИ_ОФИС_Орг_эксп	Ведущий инженер электросвязи	3	89940.84
Группирующий узел Волга \ Филиал в Республике Мордовия 	0237 БТИ_ОФИС_Орг_эксп	Руководитель группы	4	108661.08
Группирующий узел Волга \ Филиал в Республике Мордовия 	0261 БТИ_xЦТЭТ_ГЦТЭТ_УДР	Ведущий инженер по ремонту модулей	3	76881.3377777778
Группирующий узел Волга \ Филиал в Республике Мордовия 	0261 БТИ_xЦТЭТ_ГЦТЭТ_УДР	Инженер по ремонту модулей	2	59876.16000000001
Группирующий узел Волга \ Филиал в Республике Мордовия 	0261 БТИ_xЦТЭТ_ГЦТЭТ_УДР	Руководитель группы	4	117204.45333333334
Группирующий узел Волга \ Филиал в Республике Мордовия 	0295 БТИ_ЦУС_РЦУСС_Монит	Диспетчер	2	51072.666666666664
Группирующий узел Волга \ Филиал в Республике Мордовия 	0295 БТИ_ЦУС_РЦУСС_Монит	Руководитель группы	4	103688.64
Группирующий узел Волга \ Филиал в Республике Мордовия 	0299 БТИ_Транспорт	Ведущий специалист	3	76540.44555555556
Группирующий узел Волга \ Филиал в Республике Мордовия 	0299 БТИ_Транспорт	Водитель автомобиля	1	38387.11247863249
Группирующий узел Волга \ Филиал в Республике Мордовия 	0299 БТИ_Транспорт	Главный специалист	4	99821.69333333334
Группирующий узел Волга \ Филиал в Республике Мордовия 	0299 БТИ_Транспорт	Машинист бурильнокрановой машины	1	36857.61444444444
Группирующий узел Волга \ Филиал в Республике Мордовия 	0299 БТИ_Транспорт	Машинист экскаватора	1	36046.9175
Группирующий узел Волга \ Филиал в Республике Мордовия 	0299 БТИ_Транспорт	Механик-контролер	2	54192.43000000001
Группирующий узел Волга \ Филиал в Республике Мордовия 	0299 БТИ_Транспорт	Начальник цеха	5	184504.32
Группирующий узел Волга \ Филиал в Республике Мордовия 	0299 БТИ_Транспорт	Слесарь по ремонту средств транспорта и механизации	1	45544.58666666667
Группирующий узел Волга \ Филиал в Республике Мордовия 	0299 БТИ_Транспорт	Специалист	1	40879.73
Группирующий узел Волга \ Филиал в Республике Мордовия 	0299 БТИ_Транспорт	Специалист	2	48097.62
Группирующий узел Волга \ Филиал в Республике Мордовия 	0301 БТИ_xЦТЭТ_ТЦТЭТ_ЛУ	Ведущий инженер электросвязи	3	76915.08
Группирующий узел Волга \ Филиал в Республике Мордовия 	0301 БТИ_xЦТЭТ_ТЦТЭТ_ЛУ	Инженер электросвязи	2	57743.4
Группирующий узел Волга \ Филиал в Республике Мордовия 	0301 БТИ_xЦТЭТ_ТЦТЭТ_ЛУ	Инспектор по ОПР	2	60959.91
Группирующий узел Волга \ Филиал в Республике Мордовия 	0301 БТИ_xЦТЭТ_ТЦТЭТ_ЛУ	Кабельщик-спайщик 6 разряда	2	58019.280000000006
Группирующий узел Волга \ Филиал в Республике Мордовия 	0301 БТИ_xЦТЭТ_ТЦТЭТ_ЛУ	Электромеханик связи	2	57007.83000000001
Группирующий узел Волга \ Филиал в Республике Мордовия 	0307 БТИ_xЦТЭТ_ТЦТЭТ_СУ	Ведущий инженер электросвязи	3	79003.65
Группирующий узел Волга \ Филиал в Республике Мордовия 	0307 БТИ_xЦТЭТ_ТЦТЭТ_СУ	Инженер электросвязи	2	60201.240000000005
Группирующий узел Волга \ Филиал в Республике Мордовия 	0307 БТИ_xЦТЭТ_ТЦТЭТ_СУ	Руководитель группы	3	96039.24
Группирующий узел Волга \ Филиал в Республике Мордовия 	0307 БТИ_xЦТЭТ_ТЦТЭТ_СУ	Руководитель направления	4	113607.12000000001
Группирующий узел Волга \ Филиал в Республике Мордовия 	0312 БТИ_xЦТЭТ_ТЦТЭТ_УДС/ТЛГ/Спец	Ведущий инженер электросвязи	3	79417.36
Группирующий узел Волга \ Филиал в Республике Мордовия 	0312 БТИ_xЦТЭТ_ТЦТЭТ_УДС/ТЛГ/Спец	Инженер электросвязи	2	56833.128000000004
Группирующий узел Волга \ Филиал в Республике Мордовия 	0312 БТИ_xЦТЭТ_ТЦТЭТ_УДС/ТЛГ/Спец	Руководитель группы	3	72974.88
Группирующий узел Волга \ Филиал в Республике Мордовия 	0312 БТИ_xЦТЭТ_ТЦТЭТ_УДС/ТЛГ/Спец	Электромеханик связи	2	52759.08
Группирующий узел Волга \ Филиал в Республике Мордовия 	0315 БТИ_xЦТЭТ_хЦТЭТ_ЭУ	Ведущий инженер-энергетик	3	87323.93653846154
Группирующий узел Волга \ Филиал в Республике Мордовия 	0315 БТИ_xЦТЭТ_хЦТЭТ_ЭУ	Инженер-энергетик	2	49476.240000000005
Группирующий узел Волга \ Филиал в Республике Мордовия 	0315 БТИ_xЦТЭТ_хЦТЭТ_ЭУ	Руководитель группы	4	113790.43000000001
Группирующий узел Волга \ Филиал в Республике Мордовия 	0315 БТИ_xЦТЭТ_хЦТЭТ_ЭУ	Старший специалист по обслуживанию электрооборудования, систем вентиляции и кондиционирования	2	46574.880000000005
Группирующий узел Волга \ Филиал в Республике Мордовия 	0331 B2B - Планирование, финансовый и бизнес-анализ	Руководитель группы	4	119744.31999999999
Группирующий узел Волга \ Филиал в Республике Мордовия 	0331 B2B - Планирование, финансовый и бизнес-анализ	Руководитель направления	4	90870.92
Группирующий узел Волга \ Филиал в Республике Мордовия 	0341 B2B - Продажи и обслуживание, старший сегмент	Ведущий менеджер по работе с холдингами	3	109165
Группирующий узел Волга \ Филиал в Республике Мордовия 	0341 B2B - Продажи и обслуживание, старший сегмент	Ведущий сервис-менеджер по работе с холдингами	3	114654.75
Группирующий узел Волга \ Филиал в Республике Мордовия 	0341 B2B - Продажи и обслуживание, старший сегмент	Руководитель направления	4	171071.25
Группирующий узел Волга \ Филиал в Республике Мордовия 	0342 B2C - Бизнес-анализ	Руководитель группы	4	111636.36
Группирующий узел Волга \ Филиал в Республике Мордовия 	0343 B2C - Клиентский опыт и обслуживание	Ведущий специалист	3	73802.98166666666
Группирующий узел Волга \ Филиал в Республике Мордовия 	0343 B2C - Клиентский опыт и обслуживание	Руководитель группы	4	113360.85666666666
Группирующий узел Волга \ Филиал в Республике Мордовия 	0343 B2C - Клиентский опыт и обслуживание	Специалист	2	66394.67666666667
Группирующий узел Волга \ Филиал в Республике Мордовия 	0352 B2C - Новостройки и УК	Менеджер клиентских проектов	4	94926.1125
Группирующий узел Волга \ Филиал в Республике Мордовия 	0352 B2C - Новостройки и УК	Младший менеджер клиентских проектов	3	77891.34666666666
Группирующий узел Волга \ Филиал в Республике Мордовия 	0352 B2C - Новостройки и УК	Руководитель группы	4	122111.525
Группирующий узел Волга \ Филиал в Республике Мордовия 	0353 B2C - Продажи	Ведущий специалист	3	92589.83277777776
Группирующий узел Волга \ Филиал в Республике Мордовия 	0353 B2C - Продажи	Менеджер	3	114908.95833333334
Группирующий узел Волга \ Филиал в Республике Мордовия 	0353 B2C - Продажи	Начальник отдела	4	156917.925
Группирующий узел Волга \ Филиал в Республике Мордовия 	0353 B2C - Продажи	Руководитель группы	4	178234.6666666667
Группирующий узел Волга \ Филиал в Республике Мордовия 	0353 B2C - Продажи	Специалист	2	56538.261666666665
Группирующий узел Волга \ Филиал в Республике Мордовия 	0364 B2G1 - Продажи корпоративным клиентам бюджетные организации	Ведущий специалист	3	103163.08333333333
Группирующий узел Волга \ Филиал в Республике Мордовия 	0364 B2G1 - Продажи корпоративным клиентам бюджетные организации	Руководитель направления	3	116018
Группирующий узел Волга \ Филиал в Республике Мордовия 	0364 B2G1 - Продажи корпоративным клиентам бюджетные организации	Руководитель направления	4	137376.75
Группирующий узел Волга \ Филиал в Республике Мордовия 	0377 Внешние коммуникации	Пресс-секретарь	5	146200.56
Группирующий узел Волга \ Филиал в Республике Мордовия 	0386 УБ - Департамент управления делами	Архивариус	2	61212.73
Группирующий узел Волга \ Филиал в Республике Мордовия 	0386 УБ - Департамент управления делами	Ведущий специалист	3	82242.66
Группирующий узел Волга \ Филиал в Республике Мордовия 	0386 УБ - Департамент управления делами	Документовед 2 категории	2	54237.89
Группирующий узел Волга \ Филиал в Республике Мордовия 	0386 УБ - Департамент управления делами	Руководитель группы	4	114096.84000000001
Группирующий узел Волга \ Филиал в Республике Мордовия 	0394 БТИ_xЦТЭТ_ТЦТЭТ_O2O	Ведущий инженер	3	70457.13333333333
Группирующий узел Волга \ Филиал в Республике Мордовия 	0394 БТИ_xЦТЭТ_ТЦТЭТ_O2O	Инженер	3	86174.95641025642
Группирующий узел Волга \ Филиал в Республике Мордовия 	0394 БТИ_xЦТЭТ_ТЦТЭТ_O2O	Начальник участка	4	109946.76000000001
Группирующий узел Волга \ Филиал в Республике Мордовия 	0394 БТИ_xЦТЭТ_ТЦТЭТ_O2O	Старший техник	2	55435.41666666667
Группирующий узел Волга \ Филиал в Республике Мордовия 	0407 B2B - Департамент продаж МСП	Главный менеджер по работе с государственными заказчиками	4	179769.9166666667
Группирующий узел Волга \ Филиал в Республике Мордовия 	0407 B2B - Департамент продаж МСП	Главный менеджер по работе с объектами коммерческой недвижимости	4	128978.5
Группирующий узел Волга \ Филиал в Республике Мордовия 	0407 B2B - Департамент продаж МСП	Менеджер	3	107766.5
Группирующий узел Волга \ Филиал в Республике Мордовия 	0407 B2B - Департамент продаж МСП	Руководитель группы	4	148317.4166666667
Группирующий узел Волга \ Филиал в Республике Мордовия 	0407 B2B - Департамент продаж МСП	Руководитель направления	4	143456.75
Группирующий узел Волга \ Филиал в Республике Мордовия 	0419 B2G2 - Цифровизация Здравоохранения	Руководитель группы	4	152610.5
Группирующий узел Волга \ Филиал в Республике Мордовия 	0423 БТИ_СЦ_районы_КС	Мастер по обслуживанию абонентов	2	55948.55282939189
Группирующий узел Волга \ Филиал в Республике Мордовия 	0423 БТИ_СЦ_районы_КС	Руководитель направления	3	76403.09999999999
Группирующий узел Волга \ Филиал в Республике Мордовия 	0423 БТИ_СЦ_районы_КС	Сервисный инженер	3	89184.97499999999
Группирующий узел Волга \ Филиал в Республике Мордовия 	0424 БТИ_СЦ_районы_Эксплуатация	Ведущий инженер	3	76556.525
Группирующий узел Волга \ Филиал в Республике Мордовия 	0424 БТИ_СЦ_районы_Эксплуатация	Инженер	2	54617.60758928572
Группирующий узел Волга \ Филиал в Республике Мордовия 	0424 БТИ_СЦ_районы_Эксплуатация	Руководитель направления	4	111118.79999999999
Группирующий узел Волга \ Филиал в Республике Мордовия 	0425 БТИ_СЦ_районы_Сопровождение	Специалист	2	51982.65
Группирующий узел Волга \ Филиал в Республике Мордовия 	0425 БТИ_СЦ_районы_Сопровождение	Техник	2	50042.22
Группирующий узел Волга \ Филиал в Республике Мордовия 	0426 БТИ_СЦ_районы_Продажи	Супервайзер	3	116948.86666666667
Группирующий узел Волга \ Филиал в Республике Мордовия 	0428 БТИ_СЦ_районы_Развитие	Ведущий инженер	3	80546.84999999999
Группирующий узел Волга \ Филиал в Республике Мордовия 	0430 БТИ_СЦ_города_КС	Начальник цеха	4	104253.6
Группирующий узел Волга \ Филиал в Республике Мордовия 	0431 БТИ_СЦ_города_КС_В2С	Ведущий сервисный инженер	3	61256.433333333334
Группирующий узел Волга \ Филиал в Республике Мордовия 	0431 БТИ_СЦ_города_КС_В2С	Мастер по обслуживанию абонентов	2	46113.316666666666
Группирующий узел Волга \ Филиал в Республике Мордовия 	0431 БТИ_СЦ_города_КС_В2С	Начальник участка	4	127539.90833333334
Группирующий узел Волга \ Филиал в Республике Мордовия 	0431 БТИ_СЦ_города_КС_В2С	Сервисный инженер	2	50118.15055555556
Группирующий узел Волга \ Филиал в Республике Мордовия 	0431 БТИ_СЦ_города_КС_В2С	Сервисный инженер	3	67912.68333333333
Группирующий узел Волга \ Филиал в Республике Мордовия 	0431 БТИ_СЦ_города_КС_В2С	Старший мастер по обслуживанию абонентов	2	51173.25
Группирующий узел Волга \ Филиал в Республике Мордовия 	0432 БТИ_СЦ_города_КС_В2В/В2G	Начальник участка	4	109828.5
Группирующий узел Волга \ Филиал в Республике Мордовия 	0432 БТИ_СЦ_города_КС_В2В/В2G	Руководитель направления	4	116608.03333333334
Группирующий узел Волга \ Филиал в Республике Мордовия 	0432 БТИ_СЦ_города_КС_В2В/В2G	Сервисный инженер	2	51297.74361111111
Группирующий узел Волга \ Филиал в Республике Мордовия 	0432 БТИ_СЦ_города_КС_В2В/В2G	Сервисный инженер	3	93306.24
Группирующий узел Волга \ Филиал в Республике Мордовия 	0432 БТИ_СЦ_города_КС_В2В/В2G	Старший мастер по обслуживанию абонентов	2	51401.63333333334
Группирующий узел Волга \ Филиал в Республике Мордовия 	0433 БТИ_СЦ_города_КС_Инсталляции	Руководитель группы	4	133770.03916666668
Группирующий узел Волга \ Филиал в Республике Мордовия 	0433 БТИ_СЦ_города_КС_Инсталляции	Техник	2	55580.00541666667
Группирующий узел Волга \ Филиал в Республике Мордовия 	0434 БТИ_СЦ_города_Эксплуатация_СЦ	Инженер	2	54974.42666666667
Группирующий узел Волга \ Филиал в Республике Мордовия 	0434 БТИ_СЦ_города_Эксплуатация_СЦ	Начальник цеха	4	105945.98666666668
Группирующий узел Волга \ Филиал в Республике Мордовия 	0434 БТИ_СЦ_города_Эксплуатация_СЦ	Руководитель направления	4	113336.74000000002
Группирующий узел Волга \ Филиал в Республике Мордовия 	0434 БТИ_СЦ_города_Эксплуатация_СЦ	Специалист по станционному оборудованию	2	50273.325
Группирующий узел Волга \ Филиал в Республике Мордовия 	0434 БТИ_СЦ_города_Эксплуатация_СЦ	Старший специалист по станционному оборудованию	2	52414.56833333333
Группирующий узел Волга \ Филиал в Республике Мордовия 	0435 БТИ_СЦ_города_Эксплуатация_ЛКЦ	Ведущий инженер	3	84509.53
Группирующий узел Волга \ Филиал в Республике Мордовия 	0435 БТИ_СЦ_города_Эксплуатация_ЛКЦ	Инженер	2	52702.96166666667
Группирующий узел Волга \ Филиал в Республике Мордовия 	0435 БТИ_СЦ_города_Эксплуатация_ЛКЦ	Инспектор по ОПР	2	58825.235
Группирующий узел Волга \ Филиал в Республике Мордовия 	0435 БТИ_СЦ_города_Эксплуатация_ЛКЦ	Кабельщик-спайщик	2	57750.953076923084
Группирующий узел Волга \ Филиал в Республике Мордовия 	0435 БТИ_СЦ_города_Эксплуатация_ЛКЦ	Начальник цеха	4	129726.41416666665
Группирующий узел Волга \ Филиал в Республике Мордовия 	0435 БТИ_СЦ_города_Эксплуатация_ЛКЦ	Электромонтер по линейным сооружениям	2	57743.94500000001
Группирующий узел Волга \ Филиал в Республике Мордовия 	0436 БТИ_СЦ_города_Эксплуатация_УРРТ	Ведущий инженер средств радио и телевидения	3	73685.08
Группирующий узел Волга \ Филиал в Республике Мордовия 	0437 БТИ_СЦ_города_Развитие	Ведущий инженер по развитию	3	80754.67499999999
Группирующий узел Волга \ Филиал в Республике Мордовия 	0439 БТИ_СЦ_города_Сопровождение	Специалист по сопровождению	2	47724.02333333333
Группирующий узел Волга \ Филиал в Республике Мордовия 	0439 БТИ_СЦ_города_Сопровождение	Техник	2	58773.378333333334
Группирующий узел Волга \ Филиал в Республике Татарстан 	0203 Недвижимость	Ведущий специалист	3	81386.9325
Группирующий узел Волга \ Филиал в Республике Татарстан 	0204 АБ - Офис	Ведущий инженер	3	76113.6975
Группирующий узел Волга \ Филиал в Республике Татарстан 	0204 АБ - Офис	Ведущий специалист	3	64553.60249999999
Группирующий узел Волга \ Филиал в Республике Татарстан 	0204 АБ - Офис	Руководитель направления	5	144233.89500000002
Группирующий узел Волга \ Филиал в Республике Татарстан 	0204 АБ - Офис	Руководитель направления по пожарной безопасности	3	70879.81499999999
Группирующий узел Волга \ Филиал в Республике Татарстан 	0204 АБ - Офис	Специалист	2	50575.11749999999
Группирующий узел Волга \ Филиал в Республике Татарстан 	0206 ББ - Безопасность	Ведущий специалист	3	67358.95874999999
Группирующий узел Волга \ Филиал в Республике Татарстан 	0206 ББ - Безопасность	Руководитель направления	5	174195.9625
Группирующий узел Волга \ Филиал в Республике Татарстан 	0207 ББ - Государственная тайна	Ведущий специалист	3	71300.7675
Группирующий узел Волга \ Филиал в Республике Татарстан 	0207 ББ - Государственная тайна	Начальник отдела	5	127183.70249999998
Группирующий узел Волга \ Филиал в Республике Татарстан 	0209 МПГОЧС	Ведущий специалист	3	82755.92249999999
Группирующий узел Волга \ Филиал в Республике Татарстан 	0221 БТИ_ОФИС_КС_Орг_кл_серв	Ведущий специалист	3	72356.1975
Группирующий узел Волга \ Филиал в Республике Татарстан 	0221 БТИ_ОФИС_КС_Орг_кл_серв	Инженер	2	52014.565833333334
